{SimaPro 7.3}
{methods}
{Date: 2012-05-14}
{Time: 10:10:32}
{Project: Methods}
{CSV Format version: 7.0.0}
{CSV separator: Semicolon}
{Decimal separator: ,}
{Date separator: -}
{Short date format: yyyy-MM-dd}
Method
Name
IMPACTWorld+ (Default_Endpoint)
Version;
0;1
Comment;
IMPACTWorld+ (Default_Endpoint). Beta version;
Category;
Others;
Use Damage Assessment;
yes;
Use Normalization;
no;
Use Weighting;
no;;;;;
Use Addition;;;;;
yes;;;;;
Impact category;;;;;
Carcinogens;DALY;;;;
Water;(unspecified);1-Aminopropane-1,3-dicarboxylic acid;56860;0,00E+00;kg
Water;ocean;1-Aminopropane-1,3-dicarboxylic acid;56860;0,00E+00;kg
Air;(unspecified);1-butyl-1-nitrosourea;869012;5,78E-04;kg
Air;high. pop.;1-butyl-1-nitrosourea;869012;8,63E-04;kg
Air;low. pop.;1-butyl-1-nitrosourea;869012;2,94E-04;kg
Soil;(unspecified);1-butyl-1-nitrosourea;869012;9,07E-05;kg
Soil;agricultural;1-butyl-1-nitrosourea;869012;1,56E-04;kg
Water;(unspecified);1-butyl-1-nitrosourea;869012;9,94E-04;kg
Water;ocean;1-butyl-1-nitrosourea;869012;2,59E-07;kg
Air;(unspecified);1-Chloro-2-propanol;127004;0,00E+00;kg
Air;high. pop.;1-Chloro-2-propanol;127004;0,00E+00;kg
Air;low. pop.;1-Chloro-2-propanol;127004;0,00E+00;kg
Soil;(unspecified);1-Chloro-2-propanol;127004;0,00E+00;kg
Soil;agricultural;1-Chloro-2-propanol;127004;0,00E+00;kg
Water;(unspecified);1-Chloro-2-propanol;127004;0,00E+00;kg
Water;ocean;1-Chloro-2-propanol;127004;0,00E+00;kg
Air;(unspecified);1-Methyl-2-pyrrolidinone;872504;1,35E-07;kg
Air;high. pop.;1-Methyl-2-pyrrolidinone;872504;1,31E-07;kg
Air;low. pop.;1-Methyl-2-pyrrolidinone;872504;1,40E-07;kg
Soil;(unspecified);1-Methyl-2-pyrrolidinone;872504;1,15E-07;kg
Soil;agricultural;1-Methyl-2-pyrrolidinone;872504;1,79E-07;kg
Water;(unspecified);1-Methyl-2-pyrrolidinone;872504;4,48E-07;kg
Water;ocean;1-Methyl-2-pyrrolidinone;872504;7,74E-11;kg
Air;(unspecified);1-Methylnapthalene;90120;0,00E+00;kg
Air;high. pop.;1-Methylnapthalene;90120;0,00E+00;kg
Air;low. pop.;1-Methylnapthalene;90120;0,00E+00;kg
Soil;(unspecified);1-Methylnapthalene;90120;0,00E+00;kg
Soil;agricultural;1-Methylnapthalene;90120;0,00E+00;kg
Water;(unspecified);1-Methylnapthalene;90120;0,00E+00;kg
Water;ocean;1-Methylnapthalene;90120;0,00E+00;kg
Air;(unspecified);1-Naphthalene acetamide;86862;0,00E+00;kg
Air;high. pop.;1-Naphthalene acetamide;86862;0,00E+00;kg
Air;low. pop.;1-Naphthalene acetamide;86862;0,00E+00;kg
Soil;(unspecified);1-Naphthalene acetamide;86862;0,00E+00;kg
Soil;agricultural;1-Naphthalene acetamide;86862;0,00E+00;kg
Water;(unspecified);1-Naphthalene acetamide;86862;0,00E+00;kg
Water;ocean;1-Naphthalene acetamide;86862;0,00E+00;kg
Air;(unspecified);1-NITROBUTANE;627054;0,00E+00;kg
Air;high. pop.;1-NITROBUTANE;627054;0,00E+00;kg
Air;low. pop.;1-NITROBUTANE;627054;0,00E+00;kg
Soil;(unspecified);1-NITROBUTANE;627054;0,00E+00;kg
Soil;agricultural;1-NITROBUTANE;627054;0,00E+00;kg
Water;(unspecified);1-NITROBUTANE;627054;0,00E+00;kg
Water;ocean;1-NITROBUTANE;627054;0,00E+00;kg
Air;(unspecified);1-Nitroethane;79243;0,00E+00;kg
Air;high. pop.;1-Nitroethane;79243;0,00E+00;kg
Air;low. pop.;1-Nitroethane;79243;0,00E+00;kg
Soil;(unspecified);1-Nitroethane;79243;0,00E+00;kg
Soil;agricultural;1-Nitroethane;79243;0,00E+00;kg
Water;(unspecified);1-Nitroethane;79243;0,00E+00;kg
Water;ocean;1-Nitroethane;79243;0,00E+00;kg
Air;(unspecified);1-Nitronaphthalene;86577;0,00E+00;kg
Air;high. pop.;1-Nitronaphthalene;86577;0,00E+00;kg
Air;low. pop.;1-Nitronaphthalene;86577;0,00E+00;kg
Soil;(unspecified);1-Nitronaphthalene;86577;0,00E+00;kg
